Designator,Mid X,Mid Y,Rotation,Layer
_4,2.921,2.667,0.0,top
_3,60.706,3.175,0.0,top
_2,60.452,42.545,0.0,top
,2.921,43.053,0.0,top
C1,33.528,8.763,90.0,top
C2,46.6,33.48,270.0,top
C3,38.1,2.54,0.0,top
C4,29.88,13.72,180.0,top
D2,53.625,36.8,0.0,top
D3,53.775,40.0,0.0,top
D4,53.775,27.2,0.0,top
D5,53.775,33.4,0.0,top
D6,53.675,30.4,0.0,top
D7,42.875,2.0,0.0,top
D8,42.35,14.8,0.0,top
D9,40.15,14.8,180.0,top
J3,60.0,22.51,0.0,top
R1,56.894,30.416,0.0,top
R10,12.89,38.2,0.0,top
R11,13.29,30.6,0.0,top
R2,42.89,3.4,0.0,top
R3,21.29,12.8,180.0,top
R4,56.894,36.8,0.0,top
R5,57.24,40.0,0.0,top
R6,37.846,14.8,0.0,top
R7,44.8,32.5125,270.0,top
R8,56.99,27.2,0.0,top
R9,57.24,33.4,0.0,top
U1,26.05,24.9375,270.0,top
